Sourcefile	20190708 131704 Aquifer CO2 leak-v3.qmp			00h00-00h29																															
Exporttime	08/07/2019 16:25																																		
																																			
Start Time	08/07/2019 13:20																																	1200	
End Time	08/07/2019 16:25																																	19,52171791	
																																			
		He			CH4			H2O			N2			O2			Ar			CO2			Kr82-SEM			Kr84-SEM			Kr86-SEM			HeSEM			CO2-seem
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
08/07/2019 13:54	2066,159	-3,31E-15	08/07/2019 13:54	2071,249	1,58E-12	08/07/2019 13:55	2076,343	2,30E-12	08/07/2019 13:55	2081,432	7,98E-11	08/07/2019 13:55	2086,523	1,50E-11	08/07/2019 13:55	2091,614	1,34E-12	08/07/2019 13:55	2096,704	1,73E-13	08/07/2019 13:55	2106,867	4,76E-14	08/07/2019 13:55	2111,959	1,67E-13	08/07/2019 13:55	2117,051	5,20E-14	08/07/2019 13:55	2122,145	2,29E-12	08/07/2019 13:55	2127,235	7,10E-10
08/07/2019 13:56	2137,39	-3,63E-15	08/07/2019 13:56	2142,485	1,57E-12	08/07/2019 13:56	2147,575	2,29E-12	08/07/2019 13:56	2152,669	7,96E-11	08/07/2019 13:56	2157,758	1,50E-11	08/07/2019 13:56	2162,849	1,34E-12	08/07/2019 13:56	2167,94	1,70E-13	08/07/2019 13:56	2178,096	4,69E-14	08/07/2019 13:56	2183,187	1,50E-13	08/07/2019 13:56	2188,279	5,71E-14	08/07/2019 13:57	2193,373	2,27E-12	08/07/2019 13:57	2198,47	7,05E-10
08/07/2019 13:57	2208,623	-2,81E-15	08/07/2019 13:57	2213,715	1,57E-12	08/07/2019 13:57	2218,808	2,28E-12	08/07/2019 13:57	2223,9	7,95E-11	08/07/2019 13:57	2228,991	1,49E-11	08/07/2019 13:57	2234,079	1,33E-12	08/07/2019 13:57	2239,171	1,71E-13	08/07/2019 13:57	2249,335	4,75E-14	08/07/2019 13:58	2254,429	1,47E-13	08/07/2019 13:58	2259,525	4,69E-14	08/07/2019 13:58	2264,617	2,26E-12	08/07/2019 13:58	2269,708	6,99E-10
08/07/2019 13:58	2279,868	-4,37E-15	08/07/2019 13:58	2284,962	1,57E-12	08/07/2019 13:58	2290,054	2,27E-12	08/07/2019 13:58	2295,145	7,93E-11	08/07/2019 13:58	2300,235	1,49E-11	08/07/2019 13:58	2305,329	1,33E-12	08/07/2019 13:58	2310,423	1,68E-13	08/07/2019 13:59	2320,582	4,68E-14	08/07/2019 13:59	2325,672	1,65E-13	08/07/2019 13:59	2330,762	5,50E-14	08/07/2019 13:59	2335,858	2,23E-12	08/07/2019 13:59	2340,948	6,95E-10
08/07/2019 13:59	2351,104	-3,78E-15	08/07/2019 13:59	2356,194	1,56E-12	08/07/2019 13:59	2361,286	2,26E-12	08/07/2019 13:59	2366,376	7,92E-11	08/07/2019 14:00	2371,471	1,49E-11	08/07/2019 14:00	2376,563	1,33E-12	08/07/2019 14:00	2381,655	1,68E-13	08/07/2019 14:00	2391,815	4,90E-14	08/07/2019 14:00	2396,905	1,53E-13	08/07/2019 14:00	2401,995	5,15E-14	08/07/2019 14:00	2407,084	2,19E-12	08/07/2019 14:00	2412,174	6,90E-10
08/07/2019 14:00	2422,337	-4,23E-15	08/07/2019 14:00	2427,428	1,56E-12	08/07/2019 14:01	2432,52	2,25E-12	08/07/2019 14:01	2437,613	7,90E-11	08/07/2019 14:01	2442,701	1,49E-11	08/07/2019 14:01	2447,792	1,33E-12	08/07/2019 14:01	2452,878	1,66E-13	08/07/2019 14:01	2463,035	4,80E-14	08/07/2019 14:01	2468,126	1,48E-13	08/07/2019 14:01	2473,22	5,03E-14	08/07/2019 14:01	2478,312	2,21E-12	08/07/2019 14:01	2483,405	6,86E-10
08/07/2019 14:02	2493,569	-4,01E-15	08/07/2019 14:02	2498,661	1,56E-12	08/07/2019 14:02	2503,754	2,24E-12	08/07/2019 14:02	2508,846	7,89E-11	08/07/2019 14:02	2513,941	1,48E-11	08/07/2019 14:02	2519,035	1,32E-12	08/07/2019 14:02	2524,123	1,65E-13	08/07/2019 14:02	2534,284	4,41E-14	08/07/2019 14:02	2539,377	1,54E-13	08/07/2019 14:02	2544,472	5,29E-14	08/07/2019 14:02	2549,563	2,23E-12	08/07/2019 14:03	2554,654	6,81E-10
08/07/2019 14:03	2564,81	-2,89E-15	08/07/2019 14:03	2569,903	1,56E-12	08/07/2019 14:03	2574,992	2,23E-12	08/07/2019 14:03	2580,084	7,87E-11	08/07/2019 14:03	2585,175	1,48E-11	08/07/2019 14:03	2590,268	1,32E-12	08/07/2019 14:03	2595,362	2,09E-13	08/07/2019 14:03	2605,519	5,77E-14	08/07/2019 14:03	2610,612	1,96E-13	08/07/2019 14:04	2615,702	5,91E-14	08/07/2019 14:04	2620,798	2,54E-12	08/07/2019 14:04	2625,914	2,90E-09
08/07/2019 14:04	2636,073	-3,68E-15	08/07/2019 14:04	2641,162	1,60E-12	08/07/2019 14:04	2646,253	2,24E-12	08/07/2019 14:04	2651,339	7,81E-11	08/07/2019 14:04	2656,43	1,46E-11	08/07/2019 14:04	2661,52	1,31E-12	08/07/2019 14:04	2666,612	7,19E-13	08/07/2019 14:05	2676,771	5,59E-14	08/07/2019 14:05	2681,866	1,63E-13	08/07/2019 14:05	2686,955	5,64E-14	08/07/2019 14:05	2692,047	2,30E-12	08/07/2019 14:05	2697,135	2,97E-09
08/07/2019 14:05	2707,297	-2,76E-15	08/07/2019 14:05	2712,386	1,60E-12	08/07/2019 14:05	2717,478	2,22E-12	08/07/2019 14:05	2722,568	7,79E-11	08/07/2019 14:05	2727,659	1,46E-11	08/07/2019 14:06	2732,749	1,31E-12	08/07/2019 14:06	2737,839	6,56E-13	08/07/2019 14:06	2747,996	5,80E-14	08/07/2019 14:06	2753,086	1,63E-13	08/07/2019 14:06	2758,174	6,03E-14	08/07/2019 14:06	2763,268	2,24E-12	08/07/2019 14:06	2768,359	2,74E-09
08/07/2019 14:06	2778,519	-3,12E-15	08/07/2019 14:06	2783,611	1,59E-12	08/07/2019 14:06	2788,701	2,20E-12	08/07/2019 14:07	2793,792	7,78E-11	08/07/2019 14:07	2798,885	1,46E-11	08/07/2019 14:07	2803,975	1,30E-12	08/07/2019 14:07	2809,066	6,36E-13	08/07/2019 14:07	2819,224	5,08E-14	08/07/2019 14:07	2824,314	1,62E-13	08/07/2019 14:07	2829,405	5,27E-14	08/07/2019 14:07	2834,497	2,19E-12	08/07/2019 14:07	2839,588	2,69E-09
08/07/2019 14:07	2849,745	-3,13E-15	08/07/2019 14:08	2854,837	1,58E-12	08/07/2019 14:08	2859,928	2,19E-12	08/07/2019 14:08	2865,018	7,77E-11	08/07/2019 14:08	2870,109	1,45E-11	08/07/2019 14:08	2875,201	1,30E-12	08/07/2019 14:08	2880,298	6,24E-13	08/07/2019 14:08	2890,456	5,42E-14	08/07/2019 14:08	2895,545	1,61E-13	08/07/2019 14:08	2900,635	5,40E-14	08/07/2019 14:08	2905,727	2,22E-12	08/07/2019 14:08	2910,82	2,63E-09
08/07/2019 14:09	2920,978	-2,93E-15	08/07/2019 14:09	2926,067	1,58E-12	08/07/2019 14:09	2931,159	2,18E-12	08/07/2019 14:09	2936,251	7,75E-11	08/07/2019 14:09	2941,347	1,45E-11	08/07/2019 14:09	2946,436	1,30E-12	08/07/2019 14:09	2951,527	6,05E-13	08/07/2019 14:09	2961,68	5,46E-14	08/07/2019 14:09	2966,768	1,54E-13	08/07/2019 14:10	2971,859	5,33E-14	08/07/2019 14:10	2976,948	2,16E-12	08/07/2019 14:10	2982,04	2,56E-09
08/07/2019 14:10	2992,198	-3,13E-15	08/07/2019 14:10	2997,288	1,58E-12	08/07/2019 14:10	3002,376	2,17E-12	08/07/2019 14:10	3007,47	7,74E-11	08/07/2019 14:10	3012,562	1,45E-11	08/07/2019 14:10	3017,652	1,30E-12	08/07/2019 14:10	3022,744	5,93E-13	08/07/2019 14:11	3032,905	5,44E-14	08/07/2019 14:11	3037,998	1,55E-13	08/07/2019 14:11	3043,091	5,84E-14	08/07/2019 14:11	3048,183	2,19E-12	08/07/2019 14:11	3053,275	2,51E-09
08/07/2019 14:11	3063,432	-3,66E-15	08/07/2019 14:11	3068,529	1,57E-12	08/07/2019 14:11	3073,616	2,17E-12	08/07/2019 14:11	3078,709	7,73E-11	08/07/2019 14:11	3083,805	1,45E-11	08/07/2019 14:11	3088,899	1,29E-12	08/07/2019 14:12	3093,995	5,79E-13	08/07/2019 14:12	3104,149	5,07E-14	08/07/2019 14:12	3109,239	1,61E-13	08/07/2019 14:12	3114,326	6,13E-14	08/07/2019 14:12	3119,42	2,17E-12	08/07/2019 14:12	3124,512	2,44E-09
